,location,age,gender,decisions,meaningful,personal_identity,Feeling_good,knowledge,expensive, not_available,uncertainty,preference,intention,purchased
90,Asia,22-39,Female,1,3,4,4,4,2,2,3,3,4,2
91,North America,39-52,Female,3,3,4,3,2,3,2,3,2,3,2
92,North America,Under 22,Female,1,1,1,2,1,4,3,3,2,2,2
93,North America,22-39,Female,3,4,4,3,0,2,2,3,2,0,0
94,North America,22-39,Female,2,2,2,4,2,2,2,2,2,2,2
95,North America,Under 22,Female,4,3,4,3,1,2,3,3,3,1,1
96,North America,Under 22,Female,3,3,4,3,2,1,1,3,3,4,2
97,North America,Under 22,Female,2,1,2,2,0,2,2,3,0,0,1
98,North America,22-39,Female,0,2,2,1,0,2,3,4,0,0,1
99,Asia,22-39,Male,4,3,4,4,4,4,0,3,3,3,2
100,Asia,Under 22,Female,3,3,2,3,2,3,2,2,2,3,2
101,North America,22-39,Female,3,3,3,0,0,2,2,4,2,2,1
102,North America,22-39,Female,4,4,3,4,1,0,1,0,1,0,2
103,Asia,Under 22,Female,2,2,2,2,2,2,2,2,2,2,1
104,North America,22-39,Female,2,2,1,3,0,3,3,3,1,1,1
105,Asia,Under 22,Female,3,3,3,4,4,2,3,3,3,3,2
106,North America,22-39,Female,4,3,3,2,0,2,2,4,0,0,1
107,North America,22-39,Female,4,4,4,3,2,3,2,2,4,4,1
108,North America,Under 22,Female,3,3,3,3,3,2,1,3,2,3,2
109,Asia,22-39,Female,3,3,2,3,3,1,1,1,4,4,2
110,North America,22-39,Female,3,4,3,3,2,2,1,3,3,3,2
111,North America,22-39,Female,3,3,4,4,3,1,3,3,3,3,1
112,North America,22-39,Female,3,3,3,3,1,3,3,3,2,1,2
113,Asia,22-39,Female,3,3,3,4,3,3,4,3,3,4,1
114,North America,Under 22,Female,4,2,3,3,3,1,1,1,2,2,2
115,North America,22-39,Female,2,4,3,1,0,4,4,4,2,0,1
116,North America,Under 22,Female,4,4,3,3,0,4,4,4,0,0,0
117,North America,22-39,Female,3,3,3,3,1,3,2,3,2,1,1
118,North America,39-52,Female,3,4,3,3,2,4,3,4,3,1,2
119,North America,22-39,Female,0,2,2,2,1,3,2,2,2,0,0
120,Asia,22-39,Female,3,3,3,3,4,1,1,1,3,3,2
121,North America,Under 22,Female,2,3,3,2,1,3,1,2,2,1,2
122,Asia,22-39,Female,1,3,2,3,2,2,1,2,3,2,0
123,North America,22-39,Female,3,3,3,2,1,3,1,3,2,1,2
124,Asia,22-39,Female,2,4,4,3,4,4,2,4,4,4,2
125,North America,Under 22,Female,2,3,3,3,3,1,3,2,2,1,0
126,Asia,Under 22,Other,4,3,1,3,4,4,3,3,2,4,2
127,North America,22-39,Female,1,2,1,0,1,3,3,2,0,0,0
128,Asia,22-39,Female,2,3,4,3,3,2,3,2,3,3,2
129,North America,22-39,Female,0,2,1,1,1,3,2,2,1,1,0
130,North America,22-39,Female,0,2,0,0,0,4,2,4,0,0,0
131,North America,39-52,Female,3,4,4,3,3,1,0,1,3,2,2
132,North America,Under 22,Female,1,2,2,2,1,2,2,3,2,1,1
133,North America,Under 22,Female,1,0,0,0,0,4,2,4,0,0,1
134,North America,Under 22,Female,4,4,3,3,0,3,1,1,3,3,2
135,North America,22-39,Female,1,1,3,1,3,1,3,2,3,3,0
136,North America,Under 22,Female,4,3,3,3,3,2,3,1,4,3,2
137,North America,22-39,Female,3,4,4,3,1,3,4,4,2,1,1
138,North America,22-39,Female,1,0,2,1,1,2,1,4,0,0,1
139,North America,22-39,Female,0,1,0,0,0,4,4,3,0,0,0
140,North America,Under 22,Female,1,2,1,2,1,3,3,3,1,1,2
141,North America,22-39,Male,3,3,3,3,3,3,3,2,3,2,2
142,North America,Under 22,Female,2,4,3,3,0,2,2,4,2,2,1
143,Asia,Under 22,Female,4,4,3,3,3,2,1,2,3,3,2
144,North America,22-39,Female,4,4,4,4,0,2,2,3,2,0,0
145,North America,22-39,Female,3,1,3,3,3,1,0,1,4,3,2
146,North America,22-39,Female,3,3,3,4,2,3,3,1,1,2,2
147,Asia,Under 22,Female,4,4,4,4,4,2,0,4,4,4,2
148,North America,22-39,Female,3,4,4,3,0,3,3,3,3,1,1
149,North America,Under 22,Female,4,4,4,4,1,3,4,4,3,3,0
150,Asia,22-39,Female,3,2,3,3,2,3,1,3,3,2,1
151,North America,39-52,Female,4,4,4,4,4,2,1,3,2,2,2
152,North America,22-39,Female,1,4,2,1,1,3,2,2,1,0,2
153,Asia,22-39,Female,3,3,4,4,4,4,3,3,3,4,2
154,Europe,22-39,Female,2,3,3,3,1,3,2,4,2,2,1
155,North America,22-39,Female,3,4,3,3,0,2,2,3,2,0,1
156,North America,Under 22,Female,3,4,3,4,1,3,2,3,2,2,2
157,Asia,22-39,Female,2,3,2,2,2,3,1,3,2,2,1
158,North America,Under 22,Female,3,3,2,2,0,2,2,2,2,0,1
159,North America,22-39,Female,3,1,3,2,0,3,2,4,2,2,0
160,North America,22-39,Female,4,4,4,1,3,3,0,4,4,4,2
161,North America,Under 22,Female,3,3,3,3,1,3,2,2,2,2,2
162,South America,Under 22,Female,4,3,3,4,2,2,1,3,4,3,2
163,North America,22-39,Female,2,2,3,2,1,4,4,4,3,0,0
164,North America,39-52,Female,1,3,1,3,1,2,3,3,1,1,1
165,North America,22-39,Female,3,4,3,1,0,4,3,3,2,1,1
166,North America,22-39,Female,4,4,4,4,3,3,1,3,3,3,2
167,North America,22-39,Female,4,3,3,4,1,1,3,1,4,3,1
168,North America,52-70,Female,4,3,4,4,4,3,3,4,3,3,2
169,North America,Under 22,Female,2,3,2,2,1,3,2,2,3,1,2
170,North America,22-39,Female,0,2,2,2,1,2,2,4,2,2,1
171,North America,Under 22,Female,3,3,3,3,2,2,4,3,3,2,0
172,North America,70+,Female,3,4,3,3,3,3,2,3,4,3,2
173,North America,22-39,Female,1,3,0,0,0,3,4,3,1,1,1
174,North America,22-39,Female,2,2,2,3,2,2,2,2,2,2,1
175,North America,52-70,Female,3,1,1,1,2,1,3,1,3,1,0
176,North America,22-39,Female,0,1,1,1,0,2,1,3,1,0,1
177,North America,39-52,Female,3,3,2,3,1,3,3,3,2,2,1
178,North America,22-39,Female,3,3,3,1,1,3,1,3,1,3,2
179,North America,22-39,Female,1,3,1,2,1,3,2,3,2,1,1
